Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,Strada02,NaturaIncidente,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,Illuminazione,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,DaSpecificare,Chilometrica
18,01/01/2014 05.30.00,Strada Urbana,all'intersezione con,VIA DEL CASALE DI S. PIO V,Ribaltamento senza urto contro ostacolo fisso,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,0,NA,NA
2,01/01/2014 05.30.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro veicolo in sosta,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,1,altezza V.le Somalia civ. 31/B,NA
11,01/01/2014 05.30.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo fisso,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,2,0,0,0,altezza SOTTOVIA MARCONI,NA
7,01/01/2014 05.40.00,Strada Urbana,in prossimità,del civico n.,Scontro frontale/laterale SX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,4,NA,738
4,01/01/2014 07.30.00,Statale,in prossimità,della chilometrica,Veicolo in marcia contro ostacolo fisso,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Ore Diurne,4,0,0,0,NA,16.46
10,01/01/2014 09.30.00,Strada Urbana,in prossimità,del civico n. ,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,NA,12
2,01/01/2014 11.15.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro veicolo in sosta,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,0,altezza Via Bressanone,NA
18,01/01/2014 11.50.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro ostacolo fisso,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,0,NA,301
10,01/01/2014 12.00.00,Strada Urbana,in prossimità,del civico n. ,Veicolo in marcia contro veicolo in sosta,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,Ore Diurne,0,0,0,0,NA,31
5,01/01/2014 12.30.00,Strada Urbana,all'intersezione con,VIA RUBELLIA,Scontro frontale/laterale DX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,2,0,0,1,NA,NA
8,01/01/2014 13.30.00,Strada Urbana,in prossimità,del civico n. ,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Strada pavimentata dissestata,Assente,Sereno,Normale,Buona,Ore Diurne,0,0,0,1,NA,332
7,01/01/2014 13.30.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Con buche,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,NA,33/F
5,01/01/2014 14.00.00,Strada Urbana,all'intersezione con,SVINCOLO GRA,Tamponamento,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Ore Diurne,2,0,0,1,NA,NA
1,01/01/2014 14.35.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,NA,315
20,01/01/2014 15.00.00,Strada Urbana,in prossimità,del civico n.,Scontro frontale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,NA,240
5,01/01/2014 15.15.00,Strada Urbana,in prossimità,del civico n.,Scontro frontale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,5,0,0,1,NA,98
2,01/01/2014 15.48.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro veicoli in sosta,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,0,NA,6
1,01/01/2014 17.00.00,Strada Urbana,da specificare,NA,Scontro laterale fra veicoli in marcia,Una carreggiata a senso unico di marcia,Asciutto,Lastricata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,SOTTOVIA CAPPELLINI ,NA
20,01/01/2014 17.20.00,Strada Urbana,all'intersezione con,VIA VILFREDO PARETO,Scontro frontale/laterale DX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,Sufficiente,0,0,0,2,NA,NA
19,01/01/2014 17.30.00,Strada Urbana,in prossimità,del civico n. ,Scontro frontale/laterale DX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale,Sereno,Scarso,Buona,Sufficiente,0,0,0,3,NA,112
1,01/01/2014 17.30.00,Strada Urbana,da specificare,NA,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Acciotolata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,2,prossimità Palazzo Anguillara,NA
17,01/01/2014 17.30.00,Strada Urbana,in corrispondenza,del civico n. ,Scontro laterale fra veicoli in marcia,Una carreggiata a senso unico di marcia,Asciutto,Acciotolata,Verticale ed orizzontale,Sereno,Intenso,Sufficiente,Sufficiente,0,0,0,5,NA,12
8,01/01/2014 18.15.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo accidentale,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,1,prox. V.Romanisti dir. Fosso di S. Maura,NA
20,01/01/2014 18.15.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro veicolo in sosta,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Assente,Sereno,Scarso,Sufficiente,Sufficiente,1,0,0,0,NA,143
10,01/01/2014 18.20.00,Strada Urbana,da specificare,NA,Scontro frontale/laterale SX fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Assente,Sereno,Normale,Buona,Sufficiente,0,0,0,3,fronte civico 789,NA
2,01/01/2014 18.25.00,Strada Urbana,all'intersezione semaforizzata con,VIA TEVERE,Scontro frontale/laterale SX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,3,NA,NA
8,01/01/2014 18.30.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,nel tratto tra V. Degas e V. Castelvetrano,NA
12,01/01/2014 19.25.00,Strada Urbana,all'intersezione semaforizzata con,VIALE IGNAZIO SILONE,Scontro frontale/laterale SX fra veicoli in marcia,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,1,0,0,1,NA,NA
9,01/01/2014 20.05.00,Strada Urbana,all'intersezione semaforizzata con,VIA GELA,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,3,NA,NA
3,01/01/2014 21.50.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo fisso,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,1,fronte civico 10,NA
8,01/02/2014 05.55.00,Statale entro l'abitato,all'intersezione semaforizzata con,VIA DELL'AQUILA REALE,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,NA,NA
19,01/02/2014 06.15.00,Strada Urbana,in prossimità,del civico n. ,Veicolo in marcia contro veicoli in sosta,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,NA,83
8,01/02/2014 06.40.00,Strada Urbana,da specificare,NA,Scontro laterale fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,prossimità rotatoria con via Collatina,NA
9,01/02/2014 07.50.00,Strada Urbana,all'intersezione semaforizzata con,PIAZZALE APPIO,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,4,NA,NA
2,01/02/2014 08.10.00,Strada Urbana,da specificare,NA,Scontro laterale fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,2,0,0,2,altezza uscita SALARIA - direz. Stadio,NA
18,01/02/2014 08.10.00,Strada Urbana,in corrispondenza,del civico n.,Ribaltamento senza urto contro ostacolo fisso,Una carreggiata a doppio senso,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,1,0,0,3,NA,273
18,01/02/2014 08.15.00,Strada Urbana,in corrispondenza,del civico n.,Veicolo in marcia contro veicolo in sosta,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,1,0,0,0,NA,223
4,01/02/2014 08.30.00,Strada Urbana,in prossimità,del civico n.,Tamponamento Multiplo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Sufficiente,Ore Diurne,1,0,0,2,NA,190
8,01/02/2014 09.30.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo fisso,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,1,prossimità via di Torre Spaccata dir. Romanisti,NA
13,01/02/2014 09.55.00,Strada Urbana,in prossimità,del civico n. ,Veicolo in marcia contro veicolo in sosta,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,1,NA,104
2,01/02/2014 10.00.00,Strada Urbana,in prossimità,del civico n.,Investimento di pedone,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,1,NA,43
18,01/02/2014 10.10.00,Strada Urbana,in corrispondenza,del civico n. ,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,1,NA,87
6,01/02/2014 10.30.00,Strada Urbana,in prossimità,del civico n. ,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,1,NA,2
8,01/02/2014 10.30.00,Strada Urbana,da specificare,NA,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,ALTEZZA CIV. 127,NA
15,01/02/2014 10.30.00,Strada Urbana,all'intersezione con,VIA GIOVANNI CASELLI,Scontro laterale fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,2,NA,NA
12,01/02/2014 10.42.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo fisso,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Sufficiente,Ore Diurne,0,0,0,1,prossimità via Celine ,NA
10,01/02/2014 11.10.00,Strada Urbana,in corrispondenza,del civico n. ,Scontro laterale fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Assente,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,NA,470
8,01/02/2014 11.20.00,Strada Urbana,in corrispondenza,del civico n. ,Scontro frontale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,1,NA,1791/D
15,01/02/2014 11.40.00,Strada Urbana,in prossimità,del civico n. ,Tamponamento,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,2,NA,1/D
15,01/02/2014 11.45.00,Strada Urbana,da specificare,NA,Investimento di pedone,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,1,in corrispondenza f.c. 140,NA
12,01/02/2014 12.00.00,Strada Urbana,da specificare,NA,Tamponamento Multiplo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,5,dir. G.R.A,NA
13,01/02/2014 12.00.00,Strada Urbana,in prossimità,del civico n.,Tamponamento Multiplo,Una carreggiata a doppio senso,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Nuvoloso,Intenso,Buona,Ore Diurne,0,0,0,6,NA,12
9,01/02/2014 12.00.00,Strada Urbana,in corrispondenza,del civico n. ,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,NA,34
8,01/02/2014 12.10.00,Strada Urbana,da specificare,NA,Tamponamento,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,2,"prossimità uscita parcheggio magazzini ""Metro""",NA
12,01/02/2014 12.45.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo accidentale,Due carreggiate,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,2,fronte civico 722,NA
15,01/02/2014 12.45.00,Strada Urbana,all'intersezione semaforizzata con,VIA PORTUENSE,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,1,NA,NA
6,01/02/2014 13.00.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro veicolo in sosta,Due carreggiate,Asciutto,Asfaltata,Assente,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,0,fronte Via Fontana Liri,NA
16,01/02/2014 13.25.00,Strada Urbana,in corrispondenza,del civico n. ,Tamponamento Multiplo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,3,NA,300
17,01/02/2014 13.30.00,Strada Urbana,all'intersezione semaforizzata con,VIA GIOVANNI BETTOLO,Scontro frontale/laterale SX fra veicoli in marcia,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,3,NA,NA
8,01/02/2014 13.30.00,Strada Urbana,in corrispondenza,del palo luce n.,Veicolo in marcia contro ostacolo fisso,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,0,NA,40
19,01/02/2014 13.45.00,Strada Urbana,da specificare,NA,Scontro frontale/laterale SX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,2,in prossimità di Via Val Favara,NA
1,01/02/2014 13.45.00,Strada Urbana,all'intersezione semaforizzata con,VIA DI S. MARIA IN COSMEDIN,Scontro frontale/laterale SX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,1,NA,NA
7,01/02/2014 13.50.00,Strada Urbana,all'intersezione con,VIA MARCIANISE,Scontro frontale/laterale DX fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,3,NA,NA
15,01/02/2014 13.55.00,Strada Urbana,all'intersezione semaforizzata con,VIA FRANCESCO GRIMALDI,Tamponamento,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,2,NA,NA
3,01/02/2014 14.15.00,Strada Urbana,all'intersezione con,VIA DI S. COSTANZA,Scontro laterale fra veicoli in marcia,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,2,NA,NA
8,01/02/2014 14.15.00,Strada Urbana,all'intersezione con,VIA MICHELE PANTANELLA,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Con buche,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,1,NA,NA
9,01/02/2014 14.20.00,Strada Urbana,in prossimità,del civico n.,Scontro frontale/laterale DX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,2,NA,46
17,01/02/2014 14.20.00,Strada Urbana,da specificare,NA,Tamponamento,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,1,0,0,5,altezza svincolo direzione viale Angelico,NA
19,01/02/2014 14.20.00,Strada Urbana,in corrispondenza,del civico n. ,Investimento di pedone,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,1,0,NA,147/A
9,01/02/2014 14.40.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro veicolo fermo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,2,NA,46
11,01/02/2014 15.00.00,Strada Urbana,in prossimità,del palo luce n.,Scontro laterale fra veicoli in marcia,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,2,NA,42
11,01/02/2014 15.35.00,Strada Urbana,all'intersezione con,VIA GALBA,Scontro frontale/laterale SX fra veicoli in marcia,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,3,0,0,2,NA,NA
17,01/02/2014 16.20.00,Strada Urbana,in prossimità,del civico n. ,Scontro frontale/laterale SX fra veicoli in marcia,Una carreggiata a doppio senso,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,1,NA,40
7,01/02/2014 16.35.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Nuvoloso,Normale,Buona,Sufficiente,0,0,0,1,sottocavalcavia gra,NA
8,01/02/2014 17.00.00,Strada Urbana,all'intersezione con,VIA GIARRATANA,Scontro frontale fra veicoli in marcia,Una carreggiata a doppio senso,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Sufficiente,Sufficiente,4,0,0,0,NA,NA
12,01/02/2014 17.15.00,Strada Urbana,all'intersezione semaforizzata con,VIA DI TOR PAGNOTTA,Tamponamento Multiplo,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Sufficiente,1,0,0,2,NA,NA
20,01/02/2014 17.40.00,Strada Urbana,all'intersezione con,VIA GIUSEPPE PRINOTTI,Investimento di pedone,Una carreggiata a doppio senso,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Intenso,Sufficiente,Sufficiente,1,0,0,1,NA,NA
9,01/02/2014 18.00.00,Strada Urbana,in prossimità,del civico n.,Veicolo in marcia contro veicolo fermo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,NA,19
10,01/02/2014 18.30.00,Strada Urbana,in prossimità,del civico n. ,Scontro frontale/laterale DX fra veicoli in marcia,Una carreggiata a doppio senso,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Sufficiente,Sufficiente,3,0,0,0,NA,5
2,01/02/2014 18.50.00,Strada Urbana,all'intersezione con,VIA DELL'AGONISTICA,Tamponamento,Una carreggiata a senso unico di marcia,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Sufficiente,Sufficiente,2,0,0,1,NA,NA
1,01/02/2014 19.00.00,Strada Urbana,in prossimità,del civico n.,Scontro laterale fra veicoli in marcia,Una carreggiata a senso unico di marcia,Bagnato (pioggia),Asfaltata,Assente,Nuvoloso,Normale,Buona,Sufficiente,1,0,0,6,NA,n.14
8,01/02/2014 19.00.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Con buche,Verticale ed orizzontale,Nuvoloso,Scarso,Insufficiente,Inesistente,0,0,0,2,400 mt. da svincolo A24 direzione Polense,NA
18,01/02/2014 19.40.00,Strada Urbana,all'intersezione con,VIA NICOLA COVIELLO,Investimento di pedone,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Sufficiente,Sufficiente,1,0,0,1,NA,NA
